"pctile","GEI","EPAplay","pass_success","rush_success","early_down_success","early_down_EPA","late_down_success","success","yardsplay","dropbacks","rushes","EPAdropback","EPArush","yardsdropback","pass_explosive","rush_explosive","explosive","third_down_success","red_zone_success","play_stuffed","nonExplosiveEpaPerPlay","havoc","yardsrush","lineyards","opportunity_run","third_down_distance"
0.31,3.57609423136377,-0.0950359316763324,0.171052631578947,0.166666666666667,0.369565217391304,-0.109354007626398,0.375,0.377049180327869,5.22077922077922,29,31,-0.138465387947412,-0.12932281256244,5.17849303135889,0.032258064516129,0.0238067226890756,0.0689655172413793,0.357142857142857,0.3125,0.277777777777778,-0.39708602668003,0.117647058823529,4.05713554987212,1.31194923076923,0.196967213114754,6.18176470588235
0.32,3.6191422313475,-0.0908068416118517,0.172413793103448,0.169014084507042,0.37037037037037,-0.0976602217821871,0.375,0.379310344827586,5.24643240023824,29,31,-0.128065457158863,-0.123336319888062,5.26287567567568,0.0333333333333333,0.024390243902439,0.0701754385964912,0.357142857142857,0.328484848484849,0.279411764705882,-0.390962608809292,0.119047619047619,4.12827129859388,1.32413714285714,0.2,6.21428571428571
0.33,3.64499989800535,-0.0842291476516453,0.174603174603175,0.170177958833619,0.372549019607843,-0.0940930501351945,0.384615384615385,0.381715311004785,5.2925,29,31,-0.115943653060904,-0.117312035533155,5.3335375,0.034314263322884,0.025,0.0714285714285714,0.357142857142857,0.333333333333333,0.28125,-0.383962916475131,0.121445536445536,4.15449519230769,1.33810873664362,0.2,6.26666666666667
0.34,3.7012914729242,-0.0761454688482709,0.17711094564408,0.171875,0.376762295081967,-0.0884127917279018,0.384615384615385,0.383246913580247,5.33220883534136,30,32,-0.0996235984661032,-0.111638113020222,5.41666666666667,0.0350877192982456,0.0256410256410256,0.0714285714285714,0.363636363636364,0.333333333333333,0.283333333333333,-0.378858798249508,0.12280701754386,4.17813636363636,1.3536978021978,0.2,6.29411764705882
0.35,3.77879369918888,-0.068917632840607,0.17910447761194,0.174662698412698,0.377929292929293,-0.0838909447139789,0.388888888888889,0.384615384615385,5.36546451914099,30,32,-0.0910893447710812,-0.103576198744676,5.49198113207547,0.0357142857142857,0.0263157894736842,0.072463768115942,0.363636363636364,0.333333333333333,0.285714285714286,-0.373689471633649,0.123688271604938,4.19202127659574,1.37186063218391,0.202898550724638,6.33333333333333
0.36,3.84018657307674,-0.0594994262263605,0.180555555555556,0.176470588235294,0.380952380952381,-0.0781277270995102,0.388888888888889,0.385824561403509,5.39455954897815,30,32,-0.0867495367948856,-0.0977559745874961,5.56642857142857,0.0363636363636364,0.0268252252252252,0.0728106060606061,0.375,0.333333333333333,0.287762557077626,-0.366678027123242,0.125632183908046,4.22178861788618,1.38553846153846,0.204955205437133,6.375
0.37,3.87876396979675,-0.0510295294174379,0.183052215733425,0.178845864661654,0.383237588652482,-0.072242244510455,0.4,0.388059701492537,5.42317523056654,30,32,-0.0733494113560491,-0.088850909537447,5.61045893719807,0.0375,0.0273972602739726,0.0735294117647059,0.375,0.333333333333333,0.289752097635393,-0.361266819685335,0.126760563380282,4.25,1.39603428571429,0.207726047537368,6.4
0.38,3.89857581103931,-0.0464815175319209,0.183333333333333,0.180744797371303,0.384615384615385,-0.0669578387742693,0.4,0.389846398305085,5.46666666666667,30.02,33,-0.066887516625792,-0.0838072239866131,5.68181818181818,0.0384615384615385,0.0277777777777778,0.0746268656716418,0.384615384615385,0.333333333333333,0.292320124320124,-0.355786157238931,0.128571428571429,4.27383838383838,1.40776,0.210526315789474,6.44444444444444
0.39,3.93686629817502,-0.041862279468561,0.185185185185185,0.183333333333333,0.386363636363636,-0.0562699257912092,0.4,0.392857142857143,5.48644230769231,31,33,-0.0549417718812945,-0.0769897713526093,5.7191375,0.038961038961039,0.028169014084507,0.0754716981132075,0.384615384615385,0.341153846153846,0.29529669822212,-0.351627993188708,0.12987012987013,4.30434782608696,1.42058532272325,0.213333333333333,6.46666666666667
0.4,3.99527605712331,-0.0383097113009001,0.186283011430824,0.185185185185185,0.388888888888889,-0.0497196363507833,0.408417508417508,0.394195475885617,5.51571428571429,31,33,-0.0455854043363915,-0.0696990863913688,5.74803921568627,0.04,0.0289855072463768,0.0759493670886076,0.384615384615385,0.357142857142857,0.296875,-0.347138339704069,0.131406384814495,4.35885714285714,1.4290756302521,0.216363636363636,6.5
0.41,4.03833455968255,-0.0344946763728046,0.1875,0.186666666666667,0.390583079268293,-0.0434666786588707,0.411764705882353,0.397058823529412,5.54794520547945,31,34,-0.0385504741875866,-0.0654905830669781,5.82321739130435,0.0410958904109589,0.0294117647058824,0.0779220779220779,0.388888888888889,0.363636363636364,0.298701298701299,-0.343648379783769,0.132530120481928,4.38060755336617,1.43664959349594,0.21875,6.54468531468532
0.42,4.12433704415021,-0.0273793122283973,0.188405797101449,0.188679245283019,0.392156862745098,-0.040525492508525,0.411764705882353,0.4,5.57827302631579,31,34,-0.0308760766394265,-0.0600555283673042,5.88238095238095,0.0422535211267606,0.0298507462686567,0.0789473684210526,0.4,0.363636363636364,0.301409001956947,-0.338005966210596,0.134328358208955,4.41651515151515,1.44777279102384,0.220588235294118,6.58421568627451
0.43,4.15523973346382,-0.0218491428045586,0.19047619047619,0.19047619047619,0.395576550387597,-0.0361597751083119,0.416666666666667,0.402513462147609,5.62224634470536,32,34,-0.0239659293935337,-0.0554012854913575,5.93926126126126,0.0428571428571429,0.0303030303030303,0.08,0.4,0.375,0.303030303030303,-0.334181096920491,0.135350435180944,4.46026153846154,1.46265548780488,0.222222222222222,6.60522222222222
0.44,4.2572687043677,-0.0156376273722708,0.191780821917808,0.192307692307692,0.396473649967469,-0.0305173215041986,0.421052631578947,0.403440860215054,5.65289696969697,32,34,-0.0104280115828894,-0.0483847709805024,6,0.0433660589060308,0.0307692307692308,0.080976460331299,0.4,0.375,0.304347826086957,-0.330240738674351,0.137376712328767,4.5,1.47870234113712,0.223833464257659,6.64285714285714
0.45,4.3005438074862,-0.0101985837048943,0.192791621029573,0.194029850746269,0.4,-0.02425672805847,0.421052631578947,0.407407407407407,5.68424657534247,32,35,6.50872953993131e-05,-0.0438366729954378,6.08597402597403,0.0435021500238892,0.03125,0.0819784415001123,0.4,0.384615384615385,0.306666666666667,-0.323918507714476,0.138888888888889,4.5147619047619,1.49299007444169,0.227272727272727,6.66666666666667
