type,region,viewer_index,cycle,target_label,target_url,game_id,request_start_ms,request_started_at,request_started_at_offset_ms,status,ttfb_ms,total_ms,body_bytes,body_hash_short,cf_cache_status,cf_ray,age,cache_control,server,server_timing,x_worker_cache,x_arch,x_replay_play_index,x_upstream_cache,content_encoding
request,us-west-1,10,23,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433825849,2026-05-10 17:23:45.849000+00:00,705454,200,138.17,155.85,2399349,4a5c34664791,,9f9aa233bb717afd-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=7, percentiles;dur=4, render;dur=0, total;dur=11, cfEdge;dur=7,cfOrigin;dur=0,cfWorker;dur=67",,tiered,,HIT,br
request,us-west-1,1,23,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433827923,2026-05-10 17:23:47.923000+00:00,707528,200,101.04,217.67,2399349,4a5c34664791,,9f9aa240899c7afd-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=7, percentiles;dur=6, render;dur=0, total;dur=13, cfEdge;dur=7,cfOrigin;dur=0,cfWorker;dur=63",,tiered,,HIT,br
request,us-west-1,15,23,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433828764,2026-05-10 17:23:48.764000+00:00,708369,200,616.16,658.58,2336062,08f5771ad3f9,,9f9aa245cbe17afd-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=399, percentiles;dur=115, render;dur=0, total;dur=517, cfEdge;dur=9,cfOrigin;dur=0,cfWorker;dur=567",,baseline,,,br
request,us-west-1,2,22,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433832480,2026-05-10 17:23:52.480000+00:00,712085,200,384.02,384.83,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-1,14,23,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778433834114,2026-05-10 17:23:54.114000+00:00,713719,200,195.53,196.13,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,us-west-1,3,23,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433834343,2026-05-10 17:23:54.343000+00:00,713948,200,50.58,81.22,2336062,08f5771ad3f9,HIT,9f9aa268b84d1fdb-SJC,5,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=4, cfCacheStatus;desc=""HIT"", cfEdge;dur=9,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,us-west-1,7,23,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433838654,2026-05-10 17:23:58.654000+00:00,718259,200,184.8,309.93,2399349,4a5c34664791,,9f9aa283abb7227e-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=10, percentiles;dur=7, render;dur=0, total;dur=17, cfEdge;dur=18,cfOrigin;dur=0,cfWorker;dur=117",,tiered,,HIT,br
request,us-west-1,6,24,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433841679,2026-05-10 17:24:01.679000+00:00,721284,200,75.79,204.01,2336062,08f5771ad3f9,HIT,9f9aa2967854227e-SJC,12,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=6, cfCacheStatus;desc=""HIT"", cfEdge;dur=30,cfOrigin;dur=0,cfWorker;dur=6",HIT,baseline,,,br
request,us-west-1,13,23,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778433120&replay_duration=850&arch=tiered,401403910,1778433843898,2026-05-10 17:24:03.898000+00:00,723503,200,166.31,304.68,2399349,4a5c34664791,,9f9aa2a459af227e-SJC,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=11, percentiles;dur=7, render;dur=0, total;dur=18, cfEdge;dur=15,cfOrigin;dur=0,cfWorker;dur=115",,tiered,,HIT,br
request,us-west-1,0,24,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778433120&replay_duration=850&arch=baseline,401520434,1778433844410,2026-05-10 17:24:04.410000+00:00,724015,200,61.01,153.62,2336062,08f5771ad3f9,HIT,9f9aa2a79bfb227e-SJC,15,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=5, cfCacheStatus;desc=""HIT"", cfEdge;dur=18,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
